71,'\r\n\tFoundation Day @ ILNU - Institute of Law - Nirma University\r\n'
72,'\r\n\tPhoto Gallery of Department of Design - Nirma University\r\n'
73,'\r\n\tLatest News - Latest Updates - Institute of Technology - Nirma University\r\n'
74,'\r\n\tLatest News - Latest Updates - Department of Design - Nirma University\r\n'
75,'\r\n\tLegal awareness camp at Village Lilapur - Institute of Law - Nirma University\r\n'
76,'\r\n\t 2017 News Archived Department of Design - Nirma University\r\n'
77,'\r\n\tA workshop on "IPR concerns for patenting Pharmaceutical Products" - Institute of Law - Nirma University\r\n'
78,'\r\n\tMedia Gallery Institute of Law - Nirma University\r\n'
79,'\r\n\t September 2017 News Archived Institute of Technology - Nirma University\r\n'
80,'\r\n\tAdmission\r\n'
81,'\r\n\tAbout Centre for IPR\r\n'
82,'\r\n\t November 2014 Media Room archive  Media Gallery archive - 2014  Institute of Technology - Nirma University\r\n'
83,'\r\n\t December 2014 Media Room archive  Media Gallery archive - 2014  Institute of Technology - Nirma University\r\n'
84,'\r\n\t July 2017 News Archived Department of Design - Nirma University\r\n'
85,'\r\n\t February 2017 News Archived Department of Design - Nirma University\r\n'
86,'\r\n\t August 2017 News Archived Institute of Technology - Nirma University\r\n'
87,'\r\n\t July 2017 News Archived Institute of Technology - Nirma University\r\n'
88,'\r\n\t June 2017 News Archived Institute of Technology - Nirma University\r\n'
89,'\r\n\tCooperative teaching on "Lean Six Sigma-Yellow Belt" for MTech students - Institute of Technology - Nirma University\r\n'
90,'\r\n\tNews Detail\r\n'
91,'\r\n\tProf. Dr. Sanjay Garg receiving CVM-VVN  Best Engineering College Teacher Award for Gujarat State-2016 - Institute of Technology - Nirma University\r\n'
92,'\r\n\tM.Tech Thesis of Chemical Engineering (Energy System) guided by Dr. Parin Shah received ISTE-IPCL National Award for Best M.Tech. Thesis - Institute of Technology - Nirma University\r\n'
93,'\r\n\tProf. Dr. P. N. Tekwani receiving Rajarambapu Patil National Award - 2016 - Institute of Technology - Nirma University\r\n'
94,'\r\n\tMOU with J K Lakshmi Cement Limited - Grinding Unit  Kalol - Institute of Technology - Nirma University\r\n'
95,'\r\n\tStars of Institute of Technology  Nirma University - Institute of Technology - Nirma University\r\n'
